Name Team G PA HR R RBI SB BB_Pct K_Pct ISO BABIP AVG OBP SLG wOBA wRC EV BsR Off Def WAR playerid
"Jeff McNeil" Mets 52 209 4 19 23 0 9.6 11.5 0.142 0.335 0.311 0.383 0.454 0.36 130 86.6 -2.5 5.5 0.9 1.2 15362
"Lourdes Gurriel Jr." "Blue Jays" 57 224 11 28 33 3 6.3 21.4 0.226 0.351 0.308 0.348 0.534 0.372 135 90.8 -2.2 7.4 -1.4 1.2 19238
"Tommy La Stella" "- - -" 55 228 5 31 25 1 11.8 5.3 0.168 0.276 0.281 0.37 0.449 0.355 129 88 -2.2 5.9 -2 1.2 12371
"Nick Ahmed" Diamondbacks 57 217 5 29 29 4 8.3 21.2 0.136 0.324 0.266 0.327 0.402 0.318 96 87.7 2.1 1 2.9 1.1 12147
"Eugenio Suarez" Reds 57 231 15 29 38 2 13 29 0.268 0.214 0.202 0.312 0.47 0.332 104 89.1 0.5 1.7 -0.5 1.1 12552
"Anthony Rizzo" Cubs 58 243 11 26 24 3 11.5 15.6 0.192 0.218 0.222 0.342 0.414 0.326 103 87.7 -0.4 0.6 -0.2 1.1 3473
"J.P. Crawford" Mariners 53 232 2 33 24 6 9.9 16.8 0.083 0.303 0.255 0.336 0.338 0.303 94 85.8 -0.2 -2 4.9 1.1 15491
"Kevin Pillar" "- - -" 54 223 6 34 26 5 5.8 18.4 0.173 0.335 0.288 0.336 0.462 0.341 106 87.1 1.9 3.5 0.7 1.1 12434
"Aaron Hicks" Yankees 54 211 6 28 21 4 19.4 18 0.189 0.256 0.225 0.379 0.414 0.351 123 88.2 2.6 8.6 -3.3 1.1 5297
"David Peralta" Diamondbacks 54 218 5 19 34 1 6 20.6 0.133 0.361 0.3 0.339 0.433 0.333 106 89.2 0 1.7 1.4 1 2136
"Joey Gallo" Rangers 57 226 10 23 26 2 12.8 35 0.197 0.24 0.181 0.301 0.378 0.297 86 91.2 2.7 -1.1 3.5 1 14128
"A.J. Pollock" Dodgers 55 210 16 30 34 2 5.7 21.4 0.291 0.277 0.276 0.314 0.566 0.364 132 89.6 -2 6.6 -3.9 1 9256
"Max Kepler" Twins 48 196 9 27 23 3 11.2 18.4 0.211 0.236 0.228 0.321 0.439 0.328 107 88.5 2.3 3.9 -2.6 1 12144
"Jean Segura" Phillies 54 217 7 28 25 2 10.6 20.7 0.156 0.314 0.266 0.347 0.422 0.333 107 88 -1.1 0.9 3.3 1 5933
"Wilmer Flores" Giants 55 213 12 30 32 1 6.1 16.9 0.247 0.272 0.268 0.315 0.515 0.347 120 87.9 -0.2 5.1 -2.8 1 5827
"Nolan Arenado" Rockies 48 201 8 23 26 0 7.5 10 0.181 0.241 0.253 0.303 0.434 0.308 76 87.8 -0.5 -6.6 9.3 0.9 9777
"Eddie Rosario" Twins 57 231 13 31 42 3 8.2 14.7 0.219 0.248 0.257 0.316 0.476 0.333 110 87.5 -2 0.9 -1.5 0.9 12155
"Brandon Crawford" Giants 54 193 8 26 28 1 7.8 24.4 0.209 0.303 0.256 0.326 0.465 0.334 111 88.7 -0.5 2.2 0.6 0.9 5343
"Donovan Solano" Giants 54 203 3 22 29 0 4.9 19.2 0.137 0.396 0.326 0.365 0.463 0.357 126 88.5 0.4 7.2 -5.4 0.9 8623
"Carlos Correa" Astros 58 221 5 22 25 0 7.2 22.2 0.119 0.324 0.264 0.326 0.383 0.308 98 88.6 -0.2 -0.8 1.8 0.9 14162
"Tommy Edman" Cardinals 55 227 5 29 26 2 7 21.1 0.118 0.301 0.25 0.317 0.368 0.302 90 86.5 -0.3 -3.3 1.5 0.8 19470
"Hunter Dozier" Royals 44 186 6 29 12 4 14.5 25.8 0.165 0.288 0.228 0.344 0.392 0.326 104 86.4 1.5 2.5 -2.6 0.8 15117
"Charlie Blackmon" Rockies 59 247 6 31 42 2 7.7 17.8 0.145 0.347 0.303 0.356 0.448 0.34 97 86.9 -0.2 -1 0.5 0.8 7859
"Matt Olson" Athletics 60 245 14 28 42 1 13.9 31.4 0.229 0.227 0.195 0.31 0.424 0.316 103 92.3 0.2 1.2 -1.8 0.8 14344
"Evan Longoria" Giants 53 209 7 26 28 0 5.3 18.7 0.171 0.28 0.254 0.297 0.425 0.308 93 91.7 -2.1 -3.8 4.4 0.8 9368
"Victor Reyes" Tigers 57 213 4 30 14 8 4.2 21.1 0.114 0.34 0.277 0.315 0.391 0.307 91 90 0 -2.3 0.8 0.8 15487
"Christian Walker" Diamondbacks 57 243 7 35 34 1 7.8 20.6 0.188 0.317 0.271 0.333 0.459 0.339 110 90.4 0.8 3.8 -4.5 0.8 13419
"Jorge Polanco" Twins 55 226 4 22 19 4 5.8 15.5 0.096 0.292 0.258 0.304 0.354 0.289 80 86.6 -0.6 -6.3 3.9 0.8 13152
"Christian Yelich" Brewers 58 247 12 39 22 4 18.6 30.8 0.225 0.259 0.205 0.356 0.43 0.343 113 94 -1.2 3 -6.3 0.7 11477
"Raimel Tapia" Rockies 51 206 1 26 17 8 6.8 18.4 0.082 0.392 0.321 0.369 0.402 0.338 96 85.3 3.2 2.2 -1.9 0.7 14350
"Orlando Arcia" Brewers 59 189 5 22 20 2 7.4 16.9 0.156 0.292 0.26 0.317 0.416 0.317 96 89 -2.9 -3.9 2.6 0.7 13185
"Avisail Garcia" Brewers 53 207 2 20 15 1 9.7 23.7 0.088 0.315 0.238 0.333 0.326 0.296 82 87.4 -1 -5.7 3.6 0.7 5760
"Isiah Kiner-Falefa" Rangers 58 228 3 28 10 8 6.1 14 0.09 0.316 0.28 0.329 0.37 0.307 93 87.2 -2 -3.9 2.8 0.7 16512
"Adam Frazier" Pirates 58 230 7 22 23 1 7.4 15.2 0.134 0.246 0.23 0.297 0.364 0.291 80 85.5 -1.4 -7.2 3.4 0.6 15223
"Hanser Alberto" Orioles 54 231 3 35 22 3 2.2 13 0.11 0.314 0.283 0.306 0.393 0.301 89 82.3 3.1 0.1 0.2 0.6 11902
"Franmil Reyes" Indians 59 241 9 27 34 0 10 28.6 0.175 0.355 0.275 0.344 0.45 0.341 113 92.4 -1.9 2 -6.7 0.6 14566
"Jesus Aguilar" Marlins 51 216 8 31 34 0 10.6 18.5 0.181 0.306 0.277 0.352 0.457 0.347 122 89.6 -1.6 4.4 -4.2 0.6 11342
"Randal Grichuk" "Blue Jays" 55 231 12 38 35 1 5.6 21.2 0.208 0.299 0.273 0.312 0.481 0.334 109 88.9 0.1 2.6 -3.1 0.6 10243
"Joey Votto" Reds 54 223 11 32 22 0 16.6 19.3 0.22 0.235 0.226 0.354 0.446 0.347 114 87.4 -1.7 2.3 -6.6 0.6 4314
"Rafael Devers" "Red Sox" 57 248 11 32 43 0 5.2 27 0.22 0.325 0.263 0.31 0.483 0.337 109 93 0.9 3.7 -4.8 0.5 17350
"Adam Duvall" Braves 57 209 16 34 33 0 7.2 25.8 0.295 0.24 0.237 0.301 0.532 0.348 116 88.1 0.6 4.7 -4.9 0.5 10950
"Miguel Sano" Twins 53 205 13 31 25 0 8.8 43.9 0.274 0.301 0.204 0.278 0.478 0.317 99 95.2 2.3 2.1 -6 0.5 12164
"Colin Moran" Pirates 52 200 10 28 23 0 9.5 26 0.225 0.291 0.247 0.325 0.472 0.34 113 91.9 -2.9 0.4 -4.6 0.5 16909
"J.D. Davis" Mets 56 229 6 26 19 0 13.5 24.5 0.142 0.318 0.247 0.371 0.389 0.339 116 90.1 -2.7 2.1 -3.4 0.5 16219
"Nicholas Castellanos" Reds 60 242 14 37 34 0 7.9 28.5 0.261 0.257 0.225 0.298 0.486 0.329 102 91 -1.2 -0.6 -5.7 0.4 11737
"Max Muncy" Dodgers 58 248 12 36 27 1 15.7 24.2 0.197 0.203 0.192 0.331 0.389 0.316 100 88.5 -0.4 -0.3 -4.3 0.4 13301
"Kyle Schwarber" Cubs 59 224 11 30 24 1 13.4 29.5 0.204 0.219 0.188 0.308 0.393 0.307 91 92.8 0.4 -2.2 -3.7 0.4 16478
"Carlos Santana" Indians 60 255 8 34 30 0 18.4 16.9 0.15 0.212 0.199 0.349 0.35 0.316 96 88 -0.9 -2 -5.4 0.4 2396
"Ketel Marte" Diamondbacks 45 195 2 19 17 1 3.6 10.8 0.122 0.311 0.287 0.323 0.409 0.316 94 89.2 -0.2 -1.7 -1.4 0.4 13613
"Renato Nunez" Orioles 52 216 12 29 31 0 7.9 29.6 0.236 0.317 0.256 0.324 0.492 0.347 120 86.3 -1.5 3.9 -5.9 0.4 14503
"Pete Alonso" Mets 57 239 16 31 35 1 10 25.5 0.26 0.242 0.231 0.326 0.49 0.342 118 90.2 -2 3.6 -6.3 0.4 19251
"Miguel Cabrera" Tigers 57 231 10 28 35 1 10.4 22.1 0.167 0.283 0.25 0.329 0.417 0.323 102 93.2 -2.1 -1.6 -6 0.3 1744
"Vladimir Guerrero Jr." "Blue Jays" 60 243 9 34 33 1 8.2 15.6 0.199 0.282 0.262 0.329 0.462 0.338 112 92.5 -0.9 2.6 -6.9 0.2 19611
"Keston Hiura" Brewers 59 246 13 30 32 3 6.5 34.6 0.198 0.273 0.212 0.297 0.41 0.304 87 87.4 -0.5 -4.6 -4.4 0.2 20003
"Marwin Gonzalez" Twins 53 199 5 15 22 0 8.5 20.6 0.109 0.241 0.211 0.286 0.32 0.269 66 89.2 0.9 -7.3 0.3 0.2 5497
"Jose Altuve" Astros 48 210 5 32 18 2 8.1 18.6 0.125 0.25 0.219 0.286 0.344 0.278 77 86.7 0.4 -5.5 -0.1 0.2 5417
"Erik Gonzalez" Pirates 50 193 3 14 20 2 4.1 26.4 0.133 0.292 0.227 0.255 0.359 0.262 62 88.5 0.2 -9.3 2.1 0.1 13369
"Ryan McMahon" Rockies 52 193 9 23 26 0 9.3 34.2 0.203 0.286 0.215 0.295 0.419 0.308 76 90.1 0.6 -5.3 -0.2 0.1 15112
"Corey Dickerson" Marlins 52 210 7 25 17 1 7.1 16.7 0.144 0.283 0.258 0.311 0.402 0.308 96 85.5 0 -1.1 -3.8 0.1 10762
"Bryan Reynolds" Pirates 55 208 7 24 19 1 10.1 27.4 0.168 0.231 0.189 0.275 0.357 0.278 72 87.5 -1.7 -9.2 0.2 0 19326
"Rio Ruiz" Orioles 54 204 9 25 32 1 8.3 22.5 0.205 0.244 0.222 0.286 0.427 0.303 90 87.9 -2.2 -4.7 -0.6 0 14103
"Javier Baez" Cubs 59 235 8 27 24 3 3 31.9 0.158 0.262 0.203 0.238 0.36 0.256 57 89.4 -0.4 -13.3 2.7 0 12979
