"Season"	"STATE"	"O_RUNS.ROI"	"N"
"476"	2004	"111 2"	"0"	1554
"477"	2004	"111 2"	"1"	227
"478"	2004	"111 2"	"2"	254
"479"	2004	"111 2"	"3"	125
"480"	2004	"111 2"	"4+"	184
"481"	2005	"000 0"	"0"	32529
"482"	2005	"000 0"	"1"	6795
"483"	2005	"000 0"	"2"	3139
"484"	2005	"000 0"	"3"	1484
"485"	2005	"000 0"	"4+"	1225
"486"	2005	"000 1"	"0"	26952
"487"	2005	"000 1"	"1"	3087
"488"	2005	"000 1"	"2"	1325
"489"	2005	"000 1"	"3"	539
"490"	2005	"000 1"	"4+"	361
"491"	2005	"000 2"	"0"	23911
"492"	2005	"000 2"	"1"	1192
"493"	2005	"000 2"	"2"	421
"494"	2005	"000 2"	"3"	130
"495"	2005	"000 2"	"4+"	77
"496"	2005	"001 0"	"0"	87
"497"	2005	"001 0"	"1"	259
"498"	2005	"001 0"	"2"	70
"499"	2005	"001 0"	"3"	40
"500"	2005	"001 0"	"4+"	50
"501"	2005	"001 1"	"0"	676
"502"	2005	"001 1"	"1"	954
"503"	2005	"001 1"	"2"	206
"504"	2005	"001 1"	"3"	96
"505"	2005	"001 1"	"4+"	60
"506"	2005	"001 2"	"0"	2165
"507"	2005	"001 2"	"1"	551
"508"	2005	"001 2"	"2"	150
"509"	2005	"001 2"	"3"	55
"510"	2005	"001 2"	"4+"	25
"511"	2005	"010 0"	"0"	1290
"512"	2005	"010 0"	"1"	1227
"513"	2005	"010 0"	"2"	458
"514"	2005	"010 0"	"3"	264
"515"	2005	"010 0"	"4+"	212
"516"	2005	"010 1"	"0"	3455
"517"	2005	"010 1"	"1"	1484
"518"	2005	"010 1"	"2"	576
"519"	2005	"010 1"	"3"	241
"520"	2005	"010 1"	"4+"	156
"521"	2005	"010 2"	"0"	5775
"522"	2005	"010 2"	"1"	1137
"523"	2005	"010 2"	"2"	351
"524"	2005	"010 2"	"3"	132
"525"	2005	"010 2"	"4+"	83
"526"	2005	"011 0"	"0"	94
"527"	2005	"011 0"	"1"	174
"528"	2005	"011 0"	"2"	203
"529"	2005	"011 0"	"3"	100
"530"	2005	"011 0"	"4+"	100
"531"	2005	"011 1"	"0"	509
"532"	2005	"011 1"	"1"	431
"533"	2005	"011 1"	"2"	332
"534"	2005	"011 1"	"3"	156
"535"	2005	"011 1"	"4+"	143
"536"	2005	"011 2"	"0"	1297
"537"	2005	"011 2"	"1"	98
"538"	2005	"011 2"	"2"	232
"539"	2005	"011 2"	"3"	106
"540"	2005	"011 2"	"4+"	50
"541"	2005	"100 0"	"0"	6464
"542"	2005	"100 0"	"1"	1996
"543"	2005	"100 0"	"2"	1417
"544"	2005	"100 0"	"3"	716
"545"	2005	"100 0"	"4+"	672
"546"	2005	"100 1"	"0"	9370
"547"	2005	"100 1"	"1"	1555
"548"	2005	"100 1"	"2"	1180
"549"	2005	"100 1"	"3"	524
"550"	2005	"100 1"	"4+"	373
"551"	2005	"100 2"	"0"	11338
"552"	2005	"100 2"	"1"	788
"553"	2005	"100 2"	"2"	614
"554"	2005	"100 2"	"3"	203
"555"	2005	"100 2"	"4+"	115
"556"	2005	"101 0"	"0"	150
"557"	2005	"101 0"	"1"	399
"558"	2005	"101 0"	"2"	164
"559"	2005	"101 0"	"3"	125
"560"	2005	"101 0"	"4+"	137
"561"	2005	"101 1"	"0"	827
"562"	2005	"101 1"	"1"	877
"563"	2005	"101 1"	"2"	260
"564"	2005	"101 1"	"3"	193
"565"	2005	"101 1"	"4+"	158
"566"	2005	"101 2"	"0"	2178
"567"	2005	"101 2"	"1"	454
"568"	2005	"101 2"	"2"	189
"569"	2005	"101 2"	"3"	140
"570"	2005	"101 2"	"4+"	76
"571"	2005	"110 0"	"0"	1058
